departamento,nombre_entidad,sector,orden,rama,entidad_centralizada,tipo_de_contrato,modalidad_de_contratacion,estado_contrato,es_pyme,destino_gasto,valor_del_contrato,valor_pagado,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,objeto_del_contrato,descripcion_del_proceso,duracion_dias,anio_firma,mes_firma,es_directa,valor_promedio_depto,n_contratos_depto,ratio_vs_depto
Distrito Capital de Bogotá,RNEC,No aplica/No pertenece,Nacional,Corporación Autónoma,Centralizada,Prestación de servicios,Mínima cuantía,En ejecución,Si,,8000000,0,2026-05-08T00:00:00.000Z,2026-05-14T00:00:00.000Z,2026-11-06T00:00:00.000Z,Contratar los servicios de apoyo logístico integral; incluyendo la planeación; organización; coordinación y ejecución de actividades de bienestar institucional; culturales y recreativas dirigidas a los funcionarios de la Delegación Departamental de Casanare de la Registraduría Nacional del Estado Civil (RNEC).,Contratar los servicios de apoyo logístico integral; incluyendo la planeación; organización; coordinación y ejecución de actividades de bienestar institucional; culturales y recreativas dirigidas a los funcionarios de la Delegación Departamental de Casanare de la Registraduría Nacional del Estado Ci,176,2026,5,0,5.57940873615632E8,8393,0.01
Meta,EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE VILLAVICENCIO,Salud y Protección Social,Territorial,Ejecutivo,Centralizada,Decreto 092 de 2017,Contratación régimen especial,En ejecución,No,,15750000,0,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z,2026-10-03T00:00:00.000Z,PRESTACIÓN DE SERVICIOS COMO TECNICO AUXILIAR DE ENFERMERÍA PARA CONFORMACIÓN DE EQUIPOS BÁSICOS EN SALUD DEL AREA URBANA EN EL MARCO DE LA RESOLUCIÓN 763 DE 2025 DEL MINISTERIO DE SALUD Y PROTECCION SOCIAL.,PRESTACIÓN DE SERVICIOS COMO TECNICO AUXILIAR DE ENFERMERÍA PARA CONFORMACIÓN DE EQUIPOS BÁSICOS EN SALUD DEL AREA URBANA EN EL MARCO DE LA RESOLUCIÓN 763 DE 2025 DEL MINISTERIO DE SALUD Y PROTECCION SOCIAL.,148,2026,5,1,2.278074871755618E8,2136,0.07
Atlántico,UNIATLANTICO,Educación Nacional,Territorial,Corporación Autónoma,Centralizada,Prestación de servicios,Contratación régimen especial,En ejecución,No,,70000000,0,2026-05-07T00:00:00.000Z,2026-05-08T00:00:00.000Z,2026-12-31T00:00:00.000Z,"Contratar una asesoría jurídica especializada para la 
Vicerrectoría de Bienestar Universitario de la Universidad 
del Atlántico; para el acompañamiento en la 
estructuración; revisión y desarrollo de los procesos 
precontractuales; contractuales y poscontractuales; así 
como en la atención y análisis de asuntos administrativos 
derivados de su gestión institucional; de conformidad con 
la normativa vigente y los estatutos de la Universidad","Contratar una asesoría jurídica especializada para la 
Vicerrectoría de Bienestar Universitario de la Universidad 
del Atlántico; para el acompañamiento en la 
estructuración; revisión y desarrollo de los procesos 
precontractuales; contractuales y poscontractuales; así 
como en la atención y anális",237,2026,5,1,3.657421074976415E8,1696,0.19
Distrito Capital de Bogotá,HOSPITAL CENTRAL DE LA POLICIA,defensa,Nacional,Corporación Autónoma,Centralizada,Prestación de servicios,Contratación directa,En ejecución,Si,,8675300,0,2026-05-07T00:00:00.000Z,2026-05-12T00:00:00.000Z,2026-08-16T00:00:00.000Z,TECNICO ASISTENCIAL 	AUXILIAR ENFERMERIA ESTERILIZACION,TECNICO ASISTENCIAL 	AUXILIAR ENFERMERIA ESTERILIZACION,96,2026,5,1,5.57940873615632E8,8393,0.02
Boyacá,CPAMSEB,Ley de Justicia,Nacional,Ejecutivo,Centralizada,Suministros,Mínima cuantía,En ejecución,Si,,22411200,0,2026-05-07T00:00:00.000Z,2026-05-07T00:00:00.000Z,2026-07-06T00:00:00.000Z,CONTRATAR ADQUISICION DE INSUMOS PARA LA ELABORACION DE UNIFORMES POR DEMANDA A PRECIOS UNITARIOS DE LA CÁRCEL Y PENITENCIARIA CON ALTA Y MEDIA SEGURIDAD EL BARNE - CPAMSEB,CONTRATAR ADQUISICION DE INSUMOS PARA LA ELABORACION DE UNIFORMES POR DEMANDA A PRECIOS UNITARIOS DE LA CÁRCEL Y PENITENCIARIA CON ALTA Y MEDIA SEGURIDAD EL BARNE - CPAMSEB,60,2026,5,0,2.231946501464273E8,2841,0.1
Distrito Capital de Bogotá,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,defensa,Nacional,Ejecutivo,Centralizada,Suministros,Mínima cuantía,En ejecución,Si,,14569936,0,2026-05-06T00:00:00.000Z,2026-05-06T00:00:00.000Z,2026-11-30T00:00:00.000Z,ADQUISICIÓN DE TONER PARA IMPRESORAS; UNIDADES FUSORA Y UNIDADES DE IMAGEN PARA LAS IMPRESORAS DE LA AGENCIA LOGISTICA DE LAS FUERZAS MILITARES REGIONAL NORTE.,ADQUISICIÓN DE TONER PARA IMPRESORAS; UNIDADES FUSORA Y UNIDADES DE IMAGEN PARA LAS IMPRESORAS DE LA AGENCIA LOGISTICA DE LAS FUERZAS MILITARES REGIONAL NORTE.,208,2026,5,0,5.57940873615632E8,8393,0.03
Caquetá,"INSTITUTO DEPARTAMENTAL DE CULTURA, DEPORTE Y TURISMO DEL CAQUETA",deportes,Territorial,Ejecutivo,Descentralizada,Prestación de servicios,Mínima cuantía,En ejecución,No,,21780000,0,2026-05-05T00:00:00.000Z,2026-05-05T00:00:00.000Z,2026-06-04T00:00:00.000Z,CONTRATAR LA PRESTACIÓN DE SERVICIOS LOGÍSTICOS PARA LAS JORNADAS DE SOCIALIZACIÓN DE LOS PROGRAMAS DE DEPORTE; CULTURA Y RECREACIÓN CON LOS RESPONSABLES CON CADA UNA DE LAS ÁREAS DEL DEPARTAMENTO DEL CAQUETÁ EN LA VIGENCIA 2026,CONTRATAR LA PRESTACIÓN DE SERVICIOS LOGÍSTICOS PARA LAS JORNADAS DE SOCIALIZACIÓN DE LOS PROGRAMAS DE DEPORTE; CULTURA Y RECREACIÓN CON LOS RESPONSABLES CON CADA UNA DE LAS ÁREAS DEL DEPARTAMENTO DEL CAQUETÁ EN LA VIGENCIA 2026,30,2026,5,0,1.7326403806709957E8,462,0.13
Valle del Cauca,ALCALDIA DE CAICEDONIA,Servicio Público,Territorial,Ejecutivo,Centralizada,Prestación de servicios,Mínima cuantía,En ejecución,No,,16791000,0,2026-05-05T00:00:00.000Z,2026-05-05T00:00:00.000Z,2026-12-04T00:00:00.000Z,Prestación de servicios de lavandería y aseo general en todas las instalaciones del Hogar del Anciano Santa Ana HASA.,Prestación de servicios de lavandería y aseo general en todas las instalaciones del Hogar del Anciano Santa Ana HASA.,213,2026,5,0,3.972895858212735E8,2764,0.04
Distrito Capital de Bogotá,SECRETARIA DE EDUCACION DEL DISTRITO,Educación Nacional,Territorial,Ejecutivo,Centralizada,Suministros,Mínima cuantía,En ejecución,Si,Funcionamiento,53914306,0,2026-05-05T00:00:00.000Z,2026-05-13T00:00:00.000Z,2026-11-13T00:00:00.000Z,SUMINISTRO DE PAPELERÍA Y ÚTILES DE OFICINA; PARA LAS DEPENDENCIAS DEL NIVEL CENTRAL Y LAS DIRECCIONES LOCALES DE LA SECRETARÍA DE EDUCACIÓN DEL DISTRITO,SUMINISTRO DE PAPELERÍA Y ÚTILES DE OFICINA; PARA LAS DEPENDENCIAS DEL NIVEL CENTRAL Y LAS DIRECCIONES LOCALES DE LA SECRETARÍA DE EDUCACIÓN DEL DISTRITO,184,2026,5,0,5.57940873615632E8,8393,0.1
Quindío,ALCALDÍA MUNICIPIO DE CÓRDOBA - QUINDIO,No aplica/No pertenece,Territorial,Ejecutivo,Descentralizada,Otro,Mínima cuantía,En ejecución,Si,,15019383,0,2026-05-04T00:00:00.000Z,2026-05-07T00:00:00.000Z,2026-05-30T00:00:00.000Z,CONTRATO DE MANTENIMIENTO PREVENTIVO PARA EL MEJORAMIENTO DEL PUENTE COLGANTE DE LA VEREDA LA PLAYA DEL MUNICIPIO DE CÓRDOBA QUINDÍO,CONTRATO DE MANTENIMIENTO PREVENTIVO PARA EL MEJORAMIENTO DEL PUENTE COLGANTE DE LA VEREDA LA PLAYA DEL MUNICIPIO DE CÓRDOBA QUINDÍO,23,2026,5,0,2.0016941187111112E8,450,0.08
Distrito Capital de Bogotá,AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,Ley de Justicia,Nacional,Ejecutivo,Descentralizada,Prestación de servicios,Mínima cuantía,En ejecución,No,,10710000,0,2026-05-04T00:00:00.000Z,2026-05-06T00:00:00.000Z,2026-11-05T00:00:00.000Z,Prestar el servicio de monitoreo de medios de comunicación tradicionales y digitales; tales como prensa escrita; radio; televisión; portales web informativos y redes sociales; para la identificación; seguimiento; clasificación y reporte de menciones e información relacionada con la Agencia Nacional de Defensa Jurídica del Estado; sus funciones y temas de interés institucional; mediante el uso de herramientas tecnológicas de consulta; almacenamiento; análisis y generación de reportes.,Prestar el servicio de monitoreo de medios de comunicación tradicionales y digitales; tales como prensa escrita; radio; televisión; portales web informativos y redes sociales; para la identificación; seguimiento; clasificación y reporte de menciones e información relacionada con la Agencia Nacional,183,2026,5,0,5.57940873615632E8,8393,0.02
Bolívar,SENA REGIONAL BOLIVAR Grupo de Apoyo Administrativo Mixto,Trabajo,Nacional,Ejecutivo,Descentralizada,Prestación de servicios,Mínima cuantía,En ejecución,Si,,54100000,0,2026-05-04T00:00:00.000Z,2026-05-07T00:00:00.000Z,2026-12-15T00:00:00.000Z,Contratar el suministro de hidratación y refrigerios para el desarrollo de actividades con aprendices del Centro Agroempresarial y Minero en el marco del plan integral de bienestar al aprendiz en los municipios del departamento de Bolívar,Contratar el suministro de hidratación y refrigerios para el desarrollo de actividades con aprendices del Centro Agroempresarial y Minero en el marco del plan integral de bienestar al aprendiz en los municipios del departamento de Bolívar,222,2026,5,0,3.8163337750031626E8,1581,0.14
Nariño,E.S.E CENTRO HOSPITAL LUIS ANTONIO MONTERO,Salud y Protección Social,Territorial,Ejecutivo,Descentralizada,Prestación de servicios,Contratación régimen especial,En ejecución,No,,5550000,0,2026-05-01T00:00:00.000Z,2026-05-01T00:00:00.000Z,2026-07-31T00:00:00.000Z,PRESTACION DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA EXTRAMURAL DE LA E.S.E CENTRO HOSPITAL LUIS ANTONIO MONTERO DEL MUNICIPIO DE POTOSI,PRESTACION DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA EXTRAMURAL DE LA E.S.E CENTRO HOSPITAL LUIS ANTONIO MONTERO DEL MUNICIPIO DE POTOSI,91,2026,5,1,3.0941154367689824E8,619,0.02
Tolima,CENTRAL DE URGENCIAS LOUIS PASTEUR E.S.E,Salud y Protección Social,Territorial,Corporación Autónoma,Centralizada,Decreto 092 de 2017,Contratación régimen especial,En ejecución,No,,6591225,0,2026-04-30T00:00:00.000Z,2026-05-30T00:00:00.000Z,2026-06-30T00:00:00.000Z,CONTRATAR LA PRESTACION DE SERVICIOS DE UN CONDUCTOR PARA LAS AMBULANCIAS Y VEHÍCULOS DE LA CENTRAL DE URGENCIAS E.S.E DE MELGAR TOLIMA,CONTRATAR LA PRESTACION DE SERVICIOS DE UN CONDUCTOR PARA LAS AMBULANCIAS Y VEHÍCULOS DE LA CENTRAL DE URGENCIAS E.S.E DE MELGAR TOLIMA,31,2026,4,1,2.554871704802176E8,2022,0.03
Norte de Santander,ALCALDIA MUNICIPAL DE OCAÑA,Servicio Público,Territorial,Ejecutivo,Centralizada,Seguros,Mínima cuantía,En ejecución,No,,49000000,0,2026-04-30T00:00:00.000Z,2026-05-04T00:00:00.000Z,2026-05-18T00:00:00.000Z,ADQUISICION DE SEGUROS DE ACCIDENTES ESCOLARES DE LOS ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS MATRICULADOS EN EL SISTEMA EDUCATIVO MUNICIPAL EN LA VIGENCIA 2026 EN LOS NIVELES DE EDUCACION PREESCOLAR; BASICA PRIMARIA; BASICA SECUNDARIA; EDUCACION MEDIA Y CICLO COMPLEMENTARIOS; DEL MUNICIPIO DE OCAÑA; NORTE DE SANTANDER,ADQUISICION DE SEGUROS DE ACCIDENTES ESCOLARES DE LOS ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS MATRICULADOS EN EL SISTEMA EDUCATIVO MUNICIPAL EN LA VIGENCIA 2026 EN LOS NIVELES DE EDUCACION PREESCOLAR; BASICA PRIMARIA; BASICA SECUNDARIA; EDUCACION MEDIA Y CICLO COMPLEMENTARIOS; DEL MUNICIPIO DE O,14,2026,4,0,2.0313079243196437E8,2021,0.24
Distrito Capital de Bogotá,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,Planeación,Nacional,Ejecutivo,Descentralizada,Prestación de servicios,Mínima cuantía,En ejecución,No,,19255500,0,2026-04-30T00:00:00.000Z,2026-05-08T00:00:00.000Z,2026-12-31T00:00:00.000Z,Prestación de servicios de área protegida para atención de urgencias y/o emergencias; con el fin de proteger; brindar atención y acompañamiento a los funcionarios; colaboradores y visitantes; que presentan un evento de salud el cual amerita atención oportuna; en las diferentes sedes de la Superintendencia de Servicios Públicos Domiciliarios,Prestación de servicios de área protegida para atención de urgencias y/o emergencias; con el fin de proteger; brindar atención y acompañamiento a los funcionarios; colaboradores y visitantes; que presentan un evento de salud el cual amerita atención oportuna; en las diferentes sedes de la Superinten,237,2026,4,0,5.57940873615632E8,8393,0.03
